* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:01:23 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC5_10_20161206.eds
* Experiment Name = ERCC5_10_20161206
* Experiment Run End Time = 2016-12-06 17:44:20 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	AMPNC	HIGHSD	CQCONF
60	E12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	15.549	12.687	4.359	3,690.625	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	9	Amp			N	Y	N
61	F1	false		Target 1	STANDARD	FAM	NFQ-MGB	28.637	28.931	0.212	1.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	22	Amp			N	N	N
62	F2	false		Target 1	STANDARD	FAM	NFQ-MGB	28.957	28.931	0.212	1.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	22	Amp			N	N	N
63	F3	false		Target 1	STANDARD	FAM	NFQ-MGB	28.706	28.931	0.212	1.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	23	Amp			N	N	N
64	F4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.274	12.687	4.359	51,777.773	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	6	Amp			N	Y	N
65	F5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.155	12.687	4.359	355,623.500	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
66	F6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.793	12.687	4.359	239,731.141	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
67	F7	false		Target 1	STANDARD	FAM	NFQ-MGB	29.155	28.931	0.212	1.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	23	Amp			N	N	N
68	F8	false		Target 1	STANDARD	FAM	NFQ-MGB	29.042	28.931	0.212	1.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	23	Amp			N	N	N
69	F9	false		Target 1	STANDARD	FAM	NFQ-MGB	29.091	28.931	0.212	1.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	23	Amp			N	N	N
70	F10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.874	12.687	4.359	10,385.318	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	8	Amp			N	Y	N
71	F11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.855	12.687	4.359	5,663.480	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	9	Amp			N	Y	N
72	F12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.888	12.687	4.359	5,551.922	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	9	Amp			N	Y	N
73	G1	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
74	G2	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
75	G3	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
76	G4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.111	12.687	4.359	365,559.031	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
77	G5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.626	12.687	4.359	265,786.156	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
78	G6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.462	12.687	4.359	158,630.609	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
79	G7	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
80	G8	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
81	G9	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
82	G10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	19.837	12.687	4.359	260.880	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	13	Amp			N	Y	N
83	G11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	20.606	12.687	4.359	162.197	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	14	Amp			N	Y	N
84	G12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	20.837	12.687	4.359	140.599	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	14	Amp			N	Y	N
85	H1	false		Target 1	NTC	FAM	NFQ-MGB	30.843						28.842	0.997	-3.727	85.496	true	0.382	true	3	24	Amp			Y	N	N
86	H2	false		Target 1	NTC	FAM	NFQ-MGB	30.693						28.842	0.997	-3.727	85.496	true	0.382	true	3	25	Amp			Y	N	N
87	H3	false		Target 1	NTC	FAM	NFQ-MGB	30.621						28.842	0.997	-3.727	85.496	true	0.382	true	3	25	Amp			Y	N	N
88	H4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	7.786	12.687	4.359	446,887.656	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	3	Amp			N	Y	N
89	H5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.700	12.687	4.359	254,053.109	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
90	H6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.009	12.687	4.359	209,904.562	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
91	H7	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						28.842	0.997	-3.727	85.496	true	0.382	true	3	39	No Amp			N	N	Y
